,DH POS-SEQ,DH value,HS POS-SEQ,HS value,SH POS-SEQ,SH value,TR POS-SEQ,TR value,OT POS-SEQ,OT value,TX POS-SEQ,TX value
0,propn,100.97208263492422,propn,179.18034775490668,propn,6.359162556061829,propn,93.22214190450605,propn,16.65994040309875,propn,91.69258588399812
1,noun,78.50782453271472,noun,161.34967006861177,noun,4.741262433557244,noun,80.53745300488006,noun,12.665729957597703,noun,87.62549330356504
2,propn propn,58.11388826587057,propn propn,103.5377583879802,propn propn,4.079911676904624,verb,55.383471432731206,verb,10.486706400211952,verb,53.82558298230106
3,verb,47.43221880075074,verb,90.58204992427214,verb,3.4280206563404465,propn propn,49.80462050893291,propn propn,9.5739756406049,propn propn,49.39924381919023
4,propn noun,34.9898726324355,noun noun,66.55103988036666,propn verb,2.520382591928575,noun noun,33.23665427576813,propn propn propn,6.6434493565577455,propn noun,36.10841865661972
5,noun noun,31.607924833803903,propn noun,64.13759837382906,verb noun,2.3858650490416777,propn noun,32.81802696737809,noun verb,5.914650429998472,noun noun,33.759044803954275
6,propn propn propn,27.810929628238817,propn propn propn,57.32537217756046,propn propn propn,2.1611744001364195,propn verb,30.84194397665863,propn noun,4.560420090985966,noun verb,29.09021439962695
7,propn verb,26.94281056998828,noun propn,52.55457554488531,propn noun,2.116536473984672,noun verb,28.275370818360507,verb noun,4.53564013012735,propn verb,28.323174269706804
8,adj,24.20848665522772,adj,51.16622532675434,noun propn,1.9227912490481665,verb noun,27.519728935252807,propn verb,4.390277979813785,adj,25.9772770347384
9,emoji,24.00519459407325,propn verb,48.606221783826726,noun noun,1.596569713299866,adj,25.200320675561887,noun propn,3.879007208339209,propn propn propn,25.0818940741052
