,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
0,first,0.0,0.0,0.0,0.0,0.0,0.0,first,"[('first', 'ADV')]",{'ADV': 1},first,ADV,1.0,first,0,0,
1,Hi Brian,0.0,0.0,0.0,0.0,0.0,0.0,Hi Brian,"[('hi', 'INTJ'), ('Brian', 'PROPN')]","{'INTJ': 1, 'PROPN': 1}",hi brian,INTJ PROPN,1.0,hi brian,0,0,
2,Hello,0.0,0.0,0.0,0.0,0.0,0.0,Hello,"[('hello', 'INTJ')]",{'INTJ': 1},hello,INTJ,1.0,hello,0,0,
3,Hi,0.0,0.0,0.0,0.0,0.0,0.0,Hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,
4,2,0.0,0.0,0.0,0.0,0.0,0.0,2,"[('2', 'NUM')]",{'NUM': 1},2,NUM,1.0,2,0,0,
5,hi,0.0,0.0,0.0,0.0,0.0,0.0,hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,
6,Gday,0.0,0.0,0.0,0.0,0.0,0.0,Gday,"[('gday', 'NOUN')]",{'NOUN': 1},gday,NOUN,1.0,gday,0,0,gday
7,Lest go1,0.0,0.0,0.0,0.0,0.0,0.0,Lest go1,"[('lest', 'ADP'), ('go1', 'NOUN')]","{'ADP': 1, 'NOUN': 1}",go1,ADP NOUN,1.0,lest go1,0,0,go1
8,hey dad,0.0,0.0,0.0,0.0,0.0,0.0,hey dad,"[('hey', 'INTJ'), ('dad', 'NOUN')]","{'INTJ': 1, 'NOUN': 1}",hey dad,INTJ NOUN,1.0,hey dad,0,0,
9,Ollo,0.0,0.0,0.0,0.0,0.0,0.0,Ollo,"[('ollo', 'NOUN')]",{'NOUN': 1},ollo,NOUN,1.0,ollo,0,0,ollo
10,"Hi, Brian!",0.0,0.0,0.0,0.0,0.0,0.0,"Hi, Brian!","[('hi', 'INTJ'), (',', 'PUNCT'), ('Brian', 'PROPN'), ('!', 'PUNCT')]","{'INTJ': 1, 'PUNCT': 2, 'PROPN': 1}",hi brian,INTJ PUNCT PROPN PUNCT,1.0,hi brian,0,2,
11,Hola,0.0,0.0,0.0,0.0,0.0,0.0,Hola,"[('Hola', 'PROPN')]",{'PROPN': 1},hola,PROPN,1.0,hola,0,0,hola
12,I was first to join,0.0,0.0,0.0,0.0,0.0,0.0,I was first to join,"[('I', 'PRON'), ('be', 'AUX'), ('first', 'ADJ'), ('to', 'PART'), ('join', 'VERB')]","{'PRON': 1, 'AUX': 1, 'ADJ': 1, 'PART': 1, 'VERB': 1}",first to join,PRON AUX ADJ PART VERB,1.0,be first to join,1,0,
13,Brine,0.0,0.0,0.0,0.0,0.0,0.0,Brine,"[('Brine', 'PROPN')]",{'PROPN': 1},brine,PROPN,1.0,brine,0,0,
14,Hi brine,0.0,0.0,0.0,0.0,0.0,0.0,Hi brine,"[('hi', 'INTJ'), ('brine', 'VERB')]","{'INTJ': 1, 'VERB': 1}",hi brine,INTJ VERB,1.0,hi brine,0,0,
15,Sup boys,0.0,0.0,0.0,0.0,0.0,0.0,Sup boys,"[('Sup', 'PROPN'), ('boy', 'NOUN')]","{'PROPN': 1, 'NOUN': 1}",sup boy,PROPN NOUN,1.0,sup boy,0,0,
