,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
0,against hummanity,0.0,0.0,0.0,0.0,0.0,0.0,against hummanity,"[('against', 'ADP'), ('hummanity', 'NOUN')]","{'ADP': 1, 'NOUN': 1}",hummanity,NOUN,1.0,hummanity,0,0,hummanity
1,These maga tears😂😂🤦🏿‍♂️,1.0,0.0,0.0,0.0,0.0,0.0,These maga tears😂😂🤦🏿‍♂️,"[('these', 'DET'), ('maga', 'NOUN'), ('tear', 'NOUN'), ('😂', 'EMOJI'), ('😂', 'EMOJI'), ('🤦🏿\u200d♂️', 'EMOJI')]","{'DET': 1, 'NOUN': 2, 'EMOJI': 3}",maga tear 😂 😂 🤦 🏿‍ ♂ ️,NOUN NOUN EMOJI EMOJI EMOJI,0.0,maga tear,0,0,maga
2,Here we go,0.0,0.0,0.0,0.0,0.0,0.0,Here we go,"[('here', 'ADV'), ('we', 'PRON'), ('go', 'VERB')]","{'ADV': 1, 'PRON': 1, 'VERB': 1}",here go,VERB,1.0,go,0,0,
3,who won,0.0,0.0,0.0,0.0,0.0,0.0,who won,"[('who', 'PRON'), ('win', 'VERB')]","{'PRON': 1, 'VERB': 1}",win,VERB,1.0,win,0,0,
4,God sacrificed himself to himself to save us from himself 🤔,0.0,0.0,0.0,0.0,0.0,0.0,God sacrificed himself to himself to save us from himself 🤔,"[('God', 'PROPN'), ('sacrifice', 'VERB'), ('himself', 'PRON'), ('to', 'ADP'), ('himself', 'PRON'), ('to', 'PART'), ('save', 'VERB'), ('we', 'PRON'), ('from', 'ADP'), ('himself', 'PRON'), ('🤔', 'EMOJI')]","{'PROPN': 1, 'VERB': 2, 'PRON': 4, 'ADP': 2, 'PART': 1, 'EMOJI': 1}",god sacrifice to save 🤔,PROPN VERB VERB EMOJI,1.0,God sacrifice save,0,0,
5,new study shows Democrats are gullible.,1.0,0.0,0.0,1.0,0.0,0.0,new study shows Democrats are gullible.,"[('new', 'ADJ'), ('study', 'NOUN'), ('show', 'VERB'), ('Democrats', 'PROPN'), ('be', 'AUX'), ('gullible', 'ADJ'), ('.', 'PUNCT')]","{'ADJ': 2, 'NOUN': 1, 'VERB': 1, 'PROPN': 1, 'AUX': 1, 'PUNCT': 1}",new study show democrats gullible,ADJ NOUN VERB PROPN ADJ,0.0,new study show Democrats gullible,0,1,
6,Biden won,0.0,0.0,0.0,0.0,0.0,0.0,Biden won,"[('Biden', 'PROPN'), ('win', 'VERB')]","{'PROPN': 1, 'VERB': 1}",biden win,PROPN VERB,1.0,Biden win,0,0,
7,Biden 👍 2020 god bless america out trump 😁,0.0,0.0,0.0,0.0,0.0,0.0,Biden 👍 2020 god bless america out trump 😁,"[('Biden', 'PROPN'), ('👍', 'EMOJI'), ('2020', 'NUM'), ('god', 'PROPN'), ('bless', 'VERB'), ('america', 'PROPN'), ('out', 'ADP'), ('trump', 'NOUN'), ('😁', 'EMOJI')]","{'PROPN': 3, 'EMOJI': 2, 'NUM': 1, 'VERB': 1, 'ADP': 1, 'NOUN': 1}",biden 👍 2020 god bless america trump 😁,PROPN EMOJI NUM PROPN VERB PROPN NOUN EMOJI,1.0,Biden 2020 god bless america trump,0,0,
8,STOP THE CERTIFICATION NOW!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,STOP THE CERTIFICATION NOW!!!!!,"[('stop', 'VERB'), ('the', 'DET'), ('CERTIFICATION', 'PROPN'), ('now', 'ADV'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'VERB': 1, 'DET': 1, 'PROPN': 1, 'ADV': 1, 'PUNCT': 5}",stop certification now,VERB PROPN,1.0,stop CERTIFICATION,4,5,
9,BIDEN,0.0,0.0,0.0,0.0,0.0,0.0,BIDEN,"[('BIDEN', 'NOUN')]",{'NOUN': 1},biden,NOUN,1.0,BIDEN,1,0,
10,trump won,0.0,0.0,0.0,0.0,0.0,0.0,trump won,"[('trump', 'PROPN'), ('win', 'VERB')]","{'PROPN': 1, 'VERB': 1}",trump win,PROPN VERB,1.0,trump win,0,0,
11,Watch and weep MAGATS,1.0,0.0,0.0,0.0,0.0,0.0,Watch and weep MAGATS,"[('watch', 'VERB'), ('and', 'CCONJ'), ('weep', 'VERB'), ('MAGATS', 'PROPN')]","{'VERB': 2, 'CCONJ': 1, 'PROPN': 1}",watch weep magats,VERB VERB PROPN,0.0,watch weep MAGATS,1,0,magats
12,rigged,1.0,0.0,0.0,0.0,0.0,0.0,rigged,"[('rig', 'VERB')]",{'VERB': 1},rig,VERB,0.0,rig,0,0,
13,JAIL the entire LEFT!!!,0.0,1.0,0.0,0.0,0.0,0.0,JAIL the entire LEFT!!!,"[('JAIL', 'PROPN'), ('the', 'DET'), ('entire', 'ADJ'), ('left', 'NOUN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 1, 'DET': 1, 'ADJ': 1, 'NOUN': 1, 'PUNCT': 3}",jail entire left,PROPN ADJ NOUN,0.0,JAIL entire left,2,3,
14,"Lies lies lies, tell us more please",0.0,0.0,0.0,0.0,0.0,0.0,"Lies lies lies, tell us more please","[('lie', 'NOUN'), ('lie', 'VERB'), ('lie', 'NOUN'), (',', 'PUNCT'), ('tell', 'VERB'), ('we', 'PRON'), ('more', 'ADV'), ('please', 'INTJ')]","{'NOUN': 2, 'VERB': 2, 'PUNCT': 1, 'PRON': 1, 'ADV': 1, 'INTJ': 1}",lie lie lie tell more please,NOUN VERB NOUN VERB INTJ,1.0,lie lie lie tell please,0,1,
