,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
0,TURKEY WITH CRANBERRY SAUCD,0.0,0.0,0.0,0.0,0.0,0.0,TURKEY WITH CRANBERRY SAUCD,"[('TURKEY', 'PROPN'), ('with', 'ADP'), ('CRANBERRY', 'PROPN'), ('saucd', 'NOUN')]","{'PROPN': 2, 'ADP': 1, 'NOUN': 1}",turkey cranberry saucd,PROPN ADP PROPN NOUN,1.0,turkey with cranberry saucd,4,0,cranberry saucd
1,Maga Trump 2020 Faux News Suck,1.0,0.0,0.0,0.0,0.0,0.0,Maga Trump 2020 Faux News Suck,"[('Maga', 'PROPN'), ('Trump', 'PROPN'), ('2020', 'NUM'), ('Faux', 'PROPN'), ('News', 'PROPN'), ('Suck', 'PROPN')]","{'PROPN': 5, 'NUM': 1}",maga trump 2020 faux news suck,PROPN PROPN NUM PROPN PROPN PROPN,0.0,maga trump 2020 faux news suck,0,0,maga
2,Mike Haley🙋🏼‍♂️👌🏻👌🏻,0.0,0.0,0.0,0.0,0.0,0.0,Mike Haley🙋🏼‍♂️👌🏻👌🏻,"[('Mike', 'PROPN'), ('Haley', 'PROPN'), ('🙋🏼\u200d♂️', 'EMOJI'), ('👌🏻', 'EMOJI'), ('👌🏻', 'EMOJI')]","{'PROPN': 2, 'ADP': 2, 'NOUN': 3, 'ADV': 1, 'VERB': 1, 'X': 1}",mike haley 🏼‍ ♂ ️ 🏻 👌 🏻,PROPN PROPN EMOJI EMOJI EMOJI,1.0,mike haley,0,0,haley
3,even dead people voted for the Big guy...,0.0,0.0,0.0,1.0,0.0,0.0,even dead people voted for the Big guy...,"[('even', 'ADV'), ('dead', 'ADJ'), ('people', 'NOUN'), ('vote', 'VERB'), ('for', 'ADP'), ('the', 'DET'), ('big', 'ADJ'), ('guy', 'NOUN'), ('...', 'PUNCT')]","{'ADV': 1, 'ADJ': 2, 'NOUN': 2, 'VERB': 1, 'ADP': 1, 'DET': 1, 'PUNCT': 1}",even dead people vote big guy ...,ADV ADJ NOUN VERB ADP DET ADJ NOUN PUNCT,0.0,even dead people vote for big guy ...,0,3,
4,Mike please tell me why,0.0,0.0,0.0,0.0,0.0,0.0,Mike please tell me why,"[('Mike', 'PROPN'), ('please', 'INTJ'), ('tell', 'VERB'), ('I', 'PRON'), ('why', 'ADV')]","{'PROPN': 1, 'INTJ': 1, 'VERB': 1, 'PRON': 1, 'ADV': 1}",mike please tell why,PROPN INTJ VERB PRON ADV,1.0,mike please tell why,0,0,
5,c'mon do lund trump,1.0,0.0,0.0,0.0,0.0,0.0,cmon do lund trump,"[('cmon', 'PROPN'), ('do', 'VERB'), ('lund', 'NOUN'), ('trump', 'NOUN')]","{'PROPN': 1, 'VERB': 1, 'NOUN': 2}",cmon do lund trump,PROPN VERB NOUN NOUN,0.0,cmon do lund trump,0,0,cmon
6,why is my last 2 comments in pale grey now? almost faded out. am I muted? I didn't say anything wrong or rude.,0.0,0.0,0.0,0.0,0.0,0.0,why is my last 2 comments in pale grey now? almost faded out. am I muted? I did not say anything wrong or rude.,"[('why', 'ADV'), ('be', 'AUX'), ('my', 'PRON'), ('last', 'ADJ'), ('2', 'NUM'), ('comment', 'NOUN'), ('in', 'ADP'), ('pale', 'ADJ'), ('grey', 'NOUN'), ('now', 'ADV'), ('?', 'PUNCT'), ('almost', 'ADV'), ('fade', 'VERB'), ('out', 'ADP'), ('.', 'PUNCT'), ('be', 'AUX'), ('I', 'PRON'), ('mute', 'VERB'), ('?', 'PUNCT'), ('I', 'PRON'), ('do', 'AUX'), ('not', 'PART'), ('say', 'VERB'), ('anything', 'PRON'), ('wrong', 'ADJ'), ('or', 'CCONJ'), ('rude', 'ADJ'), ('.', 'PUNCT')]","{'ADV': 3, 'AUX': 3, 'PRON': 4, 'ADJ': 4, 'NUM': 1, 'NOUN': 2, 'ADP': 2, 'PUNCT': 4, 'VERB': 3, 'PART': 1, 'CCONJ': 1}",why last 2 comment pale grey now almost fade mute not say wrong rude,ADV AUX PRON ADJ NUM NOUN ADP ADJ NOUN ADV PUNCT ADV VERB ADP PUNCT AUX PRON VERB PUNCT PRON AUX PART VERB PRON ADJ CCONJ ADJ PUNCT,1.0,why be last 2 comment in pale grey now almost fade out be mute do not say wrong or rude,2,4,
7,Jesus Christ is coming soon to rapture his people repent and accept him as Lord and savior 🙏🙌🕊️✝️🛐❤️,0.0,0.0,0.0,0.0,0.0,0.0,Jesus Christ is coming soon to rapture his people repent and accept him as Lord and savior 🙏🙌🕊️✝️🛐❤️,"[('Jesus', 'PROPN'), ('Christ', 'PROPN'), ('be', 'AUX'), ('come', 'VERB'), ('soon', 'ADV'), ('to', 'PART'), ('rapture', 'VERB'), ('his', 'PRON'), ('people', 'NOUN'), ('repent', 'VERB'), ('and', 'CCONJ'), ('accept', 'VERB'), ('he', 'PRON'), ('as', 'ADP'), ('Lord', 'PROPN'), ('and', 'CCONJ'), ('savior', 'ADJ'), ('🙏', 'EMOJI'), ('🙌', 'EMOJI'), ('🕊️', 'EMOJI'), ('✝️', 'EMOJI'), ('🛐', 'EMOJI'), ('❤️', 'EMOJI')]","{'PROPN': 4, 'AUX': 1, 'VERB': 4, 'ADV': 2, 'PART': 1, 'PRON': 2, 'NOUN': 5, 'CCONJ': 2, 'ADP': 1, 'ADJ': 3, 'PUNCT': 1}",jesus christ come soon to rapture people repent accept lord savior 🙏 🙌 🕊 ️ ✝ ️ 🛐 ❤ ️,PROPN PROPN AUX VERB ADV PART VERB PRON NOUN VERB CCONJ VERB PRON ADP PROPN CCONJ ADJ EMOJI EMOJI EMOJI EMOJI EMOJI EMOJI,1.0,jesus christ be come soon to rapture people repent and accept as lord and savior,0,0,
8,the turkey pardons the turkey,0.0,0.0,0.0,0.0,0.0,0.0,the turkey pardons the turkey,"[('the', 'DET'), ('turkey', 'PROPN'), ('pardon', 'VERB'), ('the', 'DET'), ('turkey', 'NOUN')]","{'DET': 2, 'PROPN': 1, 'VERB': 1, 'NOUN': 1}",turkey pardon turkey,DET PROPN VERB DET NOUN,1.0,turkey pardon turkey,0,0,
9,Sammy you are limited,0.0,0.0,0.0,0.0,0.0,0.0,Sammy you are limited,"[('sammy', 'ADJ'), ('you', 'PRON'), ('be', 'AUX'), ('limited', 'ADJ')]","{'ADJ': 2, 'PRON': 1, 'AUX': 1}",sammy limited,ADJ PRON AUX ADJ,1.0,sammy be limited,0,0,
