,DH POS-SEQ,DH value,HS POS-SEQ,HS value,SH POS-SEQ,SH value,TR POS-SEQ,TR value,OT POS-SEQ,OT value,TX POS-SEQ,TX value
0,noun,37.41514135458465,noun,10.779411070346471,adj,0.5633022968005194,noun,19.877071003518047,noun,3.040468238940237,noun,8.38963517906697
1,verb,31.16442220192964,verb,6.28589353866082,propn adj propn,0.5266142826108949,propn,17.29505793664456,verb,2.1667182410665773,propn,7.58878030040786
2,propn,29.0712006481454,propn,5.519395047218514,adj propn propn,0.4899471568925977,verb,15.74395683098004,noun verb,1.977363960278134,verb,4.826850869503689
3,noun noun,15.743240104849033,adj,5.238573669190074,adj noun,0.443086940958342,propn propn,10.176826328713371,verb noun,1.8393718505594636,propn propn,4.228124249132809
4,verb noun,14.300661739490817,noun verb,4.557597770878459,adj noun adj,0.4382326221020345,verb noun,9.688991950797918,noun verb noun,1.8225797476154155,noun noun,4.1017401548213615
5,adj,13.19839579413247,noun noun,4.242164488482456,propn,0.4044830038236778,adj,9.012993488480882,adj,1.1518078030073136,verb noun,3.573496284904929
6,propn propn,13.1850064398562,adj noun,3.6975676159354407,noun adj noun,0.3619460550018146,noun verb,8.595650081968113,verb adj,1.0962700701045842,noun verb,2.6208202181852616
7,noun verb,12.875164228533244,verb noun,3.4356310279534474,adj propn,0.347467844472289,adj noun,6.722191172475393,adj noun,1.0921123287304746,adj noun,2.2502569497324227
8,adj noun,10.784183694663517,verb adj,2.830533459211888,propn adj,0.3371636076862189,propn verb,6.580229342743173,verb noun propn,0.9585974184042348,adj,2.208073031224058
9,propn verb,10.02306270152596,verb propn,2.524286154186082,verb adj noun,0.3228155016167934,noun noun,6.215255346957124,verb adj noun,0.9377505536358348,emoji,2.121336122016409
