,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words,not_in_vocab_words_count
0,first,0.0,0.0,0.0,0.0,0.0,0.0,first,"[('first', 'ADV')]",{'ADV': 1},first,ADV,1.0,first,0,0,,0
1,Hi Brian,0.0,0.0,0.0,0.0,0.0,0.0,Hi Brian,"[('hi', 'INTJ'), ('Brian', 'PROPN')]","{'INTJ': 1, 'PROPN': 1}",hi brian,INTJ PROPN,1.0,hi Brian,0,0,,0
2,Hello,0.0,0.0,0.0,0.0,0.0,0.0,Hello,"[('hello', 'INTJ')]",{'INTJ': 1},hello,INTJ,1.0,hello,0,0,,0
3,Hi,0.0,0.0,0.0,0.0,0.0,0.0,Hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,2,"[('2', 'NUM')]",{'NUM': 1},2,NUM,1.0,2,0,0,,0
5,hi,0.0,0.0,0.0,0.0,0.0,0.0,hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
6,Gday,0.0,0.0,0.0,0.0,0.0,0.0,Gday,"[('gday', 'NOUN')]",{'NOUN': 1},gday,NOUN,1.0,gday,0,0,gday,1
7,Lest go1,0.0,0.0,0.0,0.0,0.0,0.0,Lest go1,"[('lest', 'ADP'), ('go1', 'NOUN')]","{'ADP': 1, 'NOUN': 1}",go1,ADP NOUN,1.0,lest go1,0,0,go1,1
8,hey dad,0.0,0.0,0.0,0.0,0.0,0.0,hey dad,"[('hey', 'INTJ'), ('dad', 'NOUN')]","{'INTJ': 1, 'NOUN': 1}",hey dad,INTJ NOUN,1.0,hey dad,0,0,,0
9,Ollo,0.0,0.0,0.0,0.0,0.0,0.0,Ollo,"[('ollo', 'NOUN')]",{'NOUN': 1},ollo,NOUN,1.0,ollo,0,0,ollo,1
10,"Hi, Brian!",0.0,0.0,0.0,0.0,0.0,0.0,"Hi, Brian!","[('hi', 'INTJ'), (',', 'PUNCT'), ('Brian', 'PROPN'), ('!', 'PUNCT')]","{'INTJ': 1, 'PUNCT': 2, 'PROPN': 1}",hi brian,INTJ PROPN,1.0,hi Brian,0,2,,0
11,Hola,0.0,0.0,0.0,0.0,0.0,0.0,Hola,"[('Hola', 'PROPN')]",{'PROPN': 1},hola,PROPN,1.0,Hola,0,0,hola,1
12,I was first to join,0.0,0.0,0.0,0.0,0.0,0.0,I was first to join,"[('I', 'PRON'), ('be', 'AUX'), ('first', 'ADJ'), ('to', 'PART'), ('join', 'VERB')]","{'PRON': 1, 'AUX': 1, 'ADJ': 1, 'PART': 1, 'VERB': 1}",first to join,PRON ADJ VERB,1.0,first join,1,0,,0
13,Brine,0.0,0.0,0.0,0.0,0.0,0.0,Brine,"[('Brine', 'PROPN')]",{'PROPN': 1},brine,PROPN,1.0,Brine,0,0,,0
14,Hi brine,0.0,0.0,0.0,0.0,0.0,0.0,Hi brine,"[('hi', 'INTJ'), ('brine', 'VERB')]","{'INTJ': 1, 'VERB': 1}",hi brine,INTJ VERB,1.0,hi brine,0,0,,0
15,Sup boys,0.0,0.0,0.0,0.0,0.0,0.0,Sup boys,"[('Sup', 'PROPN'), ('boy', 'NOUN')]","{'PROPN': 1, 'NOUN': 1}",sup boy,PROPN NOUN,1.0,Sup boy,0,0,,0
16,Don’t die,0.0,0.0,0.0,0.0,0.0,0.0,do not die,"[('do', 'AUX'), ('not', 'PART'), ('die', 'VERB')]","{'AUX': 1, 'PART': 1, 'VERB': 1}",n’t die,VERB,1.0,die,0,0,,0
17,brain,0.0,0.0,0.0,0.0,0.0,0.0,brain,"[('brain', 'NOUN')]",{'NOUN': 1},brain,NOUN,1.0,brain,0,0,,0
18,Bet it’s nogla,0.0,0.0,0.0,0.0,0.0,0.0,Bet it is nogla,"[('bet', 'VERB'), ('it', 'PRON'), ('be', 'AUX'), ('nogla', 'ADJ')]","{'VERB': 1, 'PRON': 1, 'AUX': 1, 'ADJ': 1}",bet ’s nogla,VERB ADJ,1.0,bet nogla,0,0,nogla,1
19,brain,0.0,0.0,0.0,0.0,0.0,0.0,brain,"[('brain', 'NOUN')]",{'NOUN': 1},brain,NOUN,1.0,brain,0,0,,0
20,Hello,0.0,0.0,0.0,0.0,0.0,0.0,Hello,"[('hello', 'INTJ')]",{'INTJ': 1},hello,INTJ,1.0,hello,0,0,,0
21,Ya,0.0,0.0,0.0,0.0,0.0,0.0,Ya,"[('ya', 'NOUN')]",{'NOUN': 1},ya,NOUN,1.0,ya,0,0,,0
22,brain,0.0,0.0,0.0,0.0,0.0,0.0,brain,"[('brain', 'NOUN')]",{'NOUN': 1},brain,NOUN,1.0,brain,0,0,,0
23,Dad is that you,0.0,0.0,0.0,0.0,0.0,0.0,Dad is that you,"[('Dad', 'PROPN'), ('be', 'AUX'), ('that', 'SCONJ'), ('you', 'PRON')]","{'PROPN': 1, 'AUX': 1, 'SCONJ': 1, 'PRON': 1}",dad,PROPN,1.0,Dad,0,0,,0
24,nogla kinda sus,0.0,0.0,0.0,0.0,0.0,0.0,nogla kind of sus,"[('nogla', 'PROPN'), ('kind', 'ADV'), ('of', 'ADP'), ('sus', 'NOUN')]","{'PROPN': 1, 'ADV': 1, 'ADP': 1, 'NOUN': 1}",nogla kinda sus,PROPN ADV NOUN,1.0,nogla kind sus,0,0,nogla,1
25,Hi brine,0.0,0.0,0.0,0.0,0.0,0.0,Hi brine,"[('hi', 'INTJ'), ('brine', 'VERB')]","{'INTJ': 1, 'VERB': 1}",hi brine,INTJ VERB,1.0,hi brine,0,0,,0
26,Heyyyy,0.0,0.0,0.0,0.0,0.0,0.0,Heyyyy,"[('Heyyyy', 'PROPN')]",{'PROPN': 1},heyyyy,PROPN,1.0,Heyyyy,0,0,heyyyy,1
