,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
0,tom castillo,1.0,blm joke,8.535056518583875,sexy dick,1.0,blm terrorist,1.237310659079489,00 fucking,0.0,pete fuckeddddd,1.0
1,nogla racist,1.0,death blm,3.503488886741038,want dick,0.7071067811865475,covid fake,1.0,speech hater,0.0,shut bitch,1.0
2,mom sus,1.0,blm racist,3.0,want dick jk,0.7071067811865475,purge 2021,1.0,speech chat,0.0,death blm,1.0
3,speedy suck,1.0,lives matter,1.70508071688953,shaving ball hurt,0.5858738121990824,biden like,1.0,speech chat fun,0.0,code fckubtch,1.0
4,mrtop5 gayyyyy,1.0,george floyd,1.3689682695604777,shaving ball,0.5858738121990824,warming myth,0.7229419479714726,speech damit,0.0,sexy dick,1.0
5,richie 21 gay,0.7071067811865475,blm suck,1.3220027327401669,want suck,0.5773502691896257,voting joe know,0.7071067811865475,speech die,0.0,chat retard,1.0
6,richie 21,0.7071067811865475,blm terrorist,1.0,want suck dick,0.5773502691896257,trump gae biden,0.7071067811865475,speech die shut,0.0,white boy,0.8283624394618302
7,pete fuckin,0.7071067811865475,poc blm,1.0,suck dick,0.5773502691896257,voting joe,0.7071067811865475,speech free,0.0,pete fuckin idiot,0.7071067811865475
8,pete fuckin idiot,0.7071067811865475,hate jews,1.0,ban nogla,0.5599140580112528,eat kid,0.7071067811865475,speech free spam,0.0,pete fuckin,0.7071067811865475
9,deluxe fuck,0.6003759856470582,osers arginalized,1.0,dick live,0.5299944076359998,eat kid peel,0.7071067811865475,speech hater block,0.0,shut blm fucker,0.7071067811865475
