,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
0,ayyyy,0.0,0.0,0.0,0.0,0.0,0.0,ayyyy,"[('ayyyy', 'PROPN')]",{'PROPN': 1},ayyyy,PROPN,1.0,ayyyy,0,0,ayyyy
1,:_pewdieDuck::_pewdieDuck::_pewdieDuck::_pewdieDuck:,0.0,0.0,0.0,0.0,0.0,0.0,:_pewdieDuck::_pewdieDuck::_pewdieDuck::_pewdieDuck:,"[(':', 'PUNCT'), ('_', 'DET'), ('pewdieduck::_pewdieduck::_pewdieduck::_pewdieduck', 'NOUN'), (':', 'PUNCT')]","{'PUNCT': 2, 'DET': 1, 'NOUN': 1}",pewdieduck::_pewdieduck::_pewdieduck::_pewdieduck,PUNCT DET NOUN PUNCT,1.0,pewdieduck::_pewdieduck::_pewdieduck::_pewdieduck,0,12,pewdieduck::_pewdieduck::_pewdieduck::_pewdieduck
2,:_pewdieRicardo:,0.0,0.0,0.0,0.0,0.0,0.0,:_pewdieRicardo:,"[(':', 'PUNCT'), ('_', 'DET'), ('pewdiericardo', 'NOUN'), (':', 'PUNCT')]","{'PUNCT': 2, 'DET': 1, 'NOUN': 1}",pewdiericardo,PUNCT DET NOUN PUNCT,1.0,pewdiericardo,0,3,pewdiericardo
3,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,0.0,0.0,0.0,0.0,0.0,0.0,:_pewdieBrofist::_pewdieBrofist::_pewdieBrofist:,"[(':', 'PUNCT'), ('_', 'DET'), ('pewdiebrofist::_pewdiebrofist::_pewdiebrofist', 'NOUN'), (':', 'PUNCT')]","{'PUNCT': 2, 'DET': 1, 'NOUN': 1}",pewdiebrofist::_pewdiebrofist::_pewdiebrofist,PUNCT DET NOUN PUNCT,1.0,pewdiebrofist::_pewdiebrofist::_pewdiebrofist,0,9,pewdiebrofist::_pewdiebrofist::_pewdiebrofist
4,Late gang,0.0,0.0,0.0,0.0,0.0,0.0,Late gang,"[('late', 'ADJ'), ('gang', 'NOUN')]","{'ADJ': 1, 'NOUN': 1}",late gang,ADJ NOUN,1.0,late gang,0,0,
5,corpse :_pewdieSIMP:,0.0,0.0,0.0,0.0,0.0,0.0,corpse :_pewdieSIMP:,"[('corpse', 'NOUN'), (':', 'PUNCT'), ('_', 'PROPN'), ('pewdiesimp', 'X'), (':', 'PUNCT')]","{'NOUN': 1, 'PUNCT': 2, 'PROPN': 1, 'X': 1}",corpse pewdiesimp,NOUN PUNCT PROPN X PUNCT,1.0,corpse pewdiesimp,0,3,pewdiesimp
6,Yess phasmophobia with corpse could be awesome !!,0.0,0.0,0.0,0.0,0.0,0.0,Yess phasmophobia with corpse could be awesome !!,"[('Yess', 'PROPN'), ('phasmophobia', 'PROPN'), ('with', 'ADP'), ('corpse', 'NOUN'), ('could', 'AUX'), ('be', 'VERB'), ('awesome', 'ADJ'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 2, 'ADP': 1, 'NOUN': 1, 'AUX': 1, 'VERB': 1, 'ADJ': 1, 'PUNCT': 2}",yess phasmophobia corpse be awesome,PROPN PROPN ADP NOUN AUX VERB ADJ PUNCT PUNCT,1.0,Yess phasmophobia corpse could awesome,0,2,yess phasmophobia
7,"if you were turned into an animal, what would it be and why",0.0,0.0,0.0,0.0,0.0,0.0,"if you were turned into an animal, what would it be and why","[('if', 'SCONJ'), ('you', 'PRON'), ('be', 'AUX'), ('turn', 'VERB'), ('into', 'ADP'), ('an', 'DET'), ('animal', 'NOUN'), (',', 'PUNCT'), ('what', 'PRON'), ('would', 'AUX'), ('it', 'PRON'), ('be', 'VERB'), ('and', 'CCONJ'), ('why', 'ADV')]","{'SCONJ': 1, 'PRON': 3, 'AUX': 2, 'VERB': 2, 'ADP': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1, 'CCONJ': 1, 'ADV': 1}",turn animal be why,SCONJ PRON AUX VERB ADP DET NOUN PUNCT PRON AUX PRON VERB CCONJ ADV,1.0,turn animal would,0,1,
8,:_pewdieBrofist:,0.0,0.0,0.0,0.0,0.0,0.0,:_pewdieBrofist:,"[(':', 'PUNCT'), ('_', 'DET'), ('pewdiebrofist', 'NOUN'), (':', 'PUNCT')]","{'PUNCT': 2, 'DET': 1, 'NOUN': 1}",pewdiebrofist,PUNCT DET NOUN PUNCT,1.0,pewdiebrofist,0,3,pewdiebrofist
9,phasmophobia vr is pog,0.0,0.0,0.0,0.0,0.0,0.0,phasmophobia vr is pog,"[('phasmophobia', 'PROPN'), ('vr', 'PROPN'), ('be', 'AUX'), ('pog', 'ADJ')]","{'PROPN': 2, 'AUX': 1, 'ADJ': 1}",phasmophobia vr pog,PROPN PROPN AUX ADJ,1.0,phasmophobia vr pog,0,0,phasmophobia vr pog
