news,Toxic
biden suck,11.156355036485078
joe biden,8.200592040483235
lady gaga,5.034498292947718
cnn suck,4.0
vote biden,3.6579659356752665
moron biden,3.47024809263791
biden harris,3.329155783054812
vote trump,2.963711870467847
china joe,2.88389497238394
biden prison,2.642770641814693
biden gaga,2.6143875765408824
moron biden 2020,2.590992991576068
nancy pelosi,2.5718685427975503
trump suck,2.567713220858042
biden kamala,2.506609896324302
biden supporter,2.3558684054271075
sleepy joe,2.3449403396163686
ðÿ ðÿ,2.2245367119844746
crime family,2.1739948818520216
biden crime family,2.1739948818520216
